transaction_id,user_id,product_id,category,amount,quantity,date,payment_method,status,country
TXN-000036,USR-0189,PRD-0043,Juguetes,1437.0,3,2024-01-14 00:00:00,billetera_digital,reembolsada,BR
TXN-000037,USR-0426,PRD-0161,Juguetes,1545.19,10,2024-10-16 00:00:00,transferencia,reembolsada,CL
TXN-000038,USR-0435,PRD-0108,Electrónica,867.61,8,2024-09-24 00:00:00,transferencia,reembolsada,BR
TXN-000039,USR-0126,PRD-0023,Deportes,488.48,10,2024-09-10 00:00:00,tarjeta_debito,reembolsada,MX
TXN-000040,USR-0360,PRD-0071,Libros,1896.18,7,2024-12-19 00:00:00,efectivo,reembolsada,CL
TXN-000041,USR-0125,PRD-0079,Hogar,947.05,7,2024-06-29 00:00:00,transferencia,cancelada,CL
TXN-000042,USR-0381,PRD-0138,Juguetes,371.11,8,2024-09-25 00:00:00,tarjeta_credito,pendiente,MX
TXN-000043,,PRD-0137,Electrónica,1948.62,3,2024-02-22 00:00:00,billetera_digital,cancelada,CO
TXN-000044,USR-0130,PRD-0123,Electrónica,802.01,1,2024-06-04 00:00:00,tarjeta_debito,completada,CO
TXN-000045,USR-0116,PRD-0199,Deportes,1817.1,10,2024-11-13 00:00:00,tarjeta_credito,pendiente,MX
TXN-000046,USR-0089,PRD-0142,Electrónica,817.63,8,2024-12-27 00:00:00,efectivo,completada,MX
TXN-000047,USR-0339,PRD-0051,Libros,450.39,5,2024-03-25 00:00:00,billetera_digital,cancelada,CO
TXN-000048,USR-0483,PRD-0070,Deportes,876.08,7,2024-01-14 00:00:00,billetera_digital,completada,BR
TXN-000049,USR-0391,PRD-0194,Libros,1303.37,3,2024-09-08 00:00:00,efectivo,cancelada,MX
TXN-000050,USR-0169,PRD-0106,Hogar,1325.5,9,2024-05-09 00:00:00,efectivo,completada,PE
TXN-000051,USR-0266,PRD-0093,Deportes,1251.19,4,2024-05-27 00:00:00,efectivo,completada,BR
TXN-000052,USR-0082,PRD-0080,Libros,816.57,2,2024-03-19 00:00:00,transferencia,cancelada,CO
TXN-000053,USR-0283,PRD-0038,Libros,1016.97,2,2024-07-31 00:00:00,billetera_digital,cancelada,MX
TXN-000054,USR-0297,PRD-0169,Ropa,893.65,6,2024-08-21 00:00:00,tarjeta_debito,pendiente,AR
TXN-000055,USR-0163,PRD-0191,Deportes,772.77,3,2024-09-14 00:00:00,transferencia,completada,CO
TXN-000056,USR-0008,PRD-0185,Juguetes,1939.94,5,2024-11-28 00:00:00,transferencia,reembolsada,BR
TXN-000057,USR-0447,PRD-0139,Electrónica,470.31,5,2024-08-10 00:00:00,tarjeta_credito,reembolsada,MX
TXN-000058,USR-0408,PRD-0015,Hogar,861.94,7,2024-03-28 00:00:00,billetera_digital,reembolsada,AR
TXN-000059,USR-0119,PRD-0119,Deportes,-98.49,5,2024-08-14 00:00:00,billetera_digital,cancelada,CO
TXN-000060,USR-0155,PRD-0051,Deportes,214.2,6,2024-05-31 00:00:00,efectivo,cancelada,
TXN-000061,USR-0499,PRD-0013,Juguetes,993.96,5,2024-06-29 00:00:00,tarjeta_debito,cancelada,BR
TXN-000062,USR-0071,PRD-0161,Juguetes,1293.03,8,2024-03-08 00:00:00,transferencia,cancelada,AR
TXN-000063,USR-0449,PRD-0094,Hogar,1661.11,8,2024-06-22 00:00:00,efectivo,completada,AR
TXN-000064,USR-0204,PRD-0143,Deportes,28.82,8,2024-05-14 00:00:00,transferencia,completada,CO
TXN-000065,USR-0288,PRD-0084,Ropa,1295.66,8,2024-07-28 00:00:00,tarjeta_credito,completada,CO
TXN-000066,USR-0276,PRD-0035,Hogar,1341.3,9,2024-03-20 00:00:00,tarjeta_credito,reembolsada,MX
TXN-000067,USR-0228,PRD-0114,Hogar,199.61,9,2024-02-01 00:00:00,tarjeta_debito,completada,CO
TXN-000068,USR-0328,PRD-0153,Electrónica,1573.8,3,2024-10-10 00:00:00,tarjeta_debito,pendiente,AR
TXN-000069,USR-0142,PRD-0038,Libros,502.06,1,2024-05-01 00:00:00,tarjeta_credito,pendiente,AR
TXN-000070,USR-0382,PRD-0017,Hogar,1026.96,9,2024-12-03 00:00:00,efectivo,completada,CO
TXN-000071,USR-0056,PRD-0126,Deportes,147.91,10,2024-11-15 00:00:00,billetera_digital,cancelada,PE
TXN-000072,USR-0310,PRD-0111,Juguetes,229.71,9,2024-08-19 00:00:00,efectivo,cancelada,CO
TXN-000073,USR-0219,PRD-0081,Hogar,1907.23,8,2024-02-17 00:00:00,transferencia,pendiente,PE
TXN-000074,USR-0344,PRD-0032,Juguetes,1882.32,1,2024-06-29 00:00:00,billetera_digital,pendiente,CO
TXN-000075,USR-0433,PRD-0143,Hogar,1148.63,9,2024-11-10 00:00:00,billetera_digital,completada,BR
TXN-000076,USR-0093,PRD-0070,Hogar,1843.15,3,2024-07-24 00:00:00,tarjeta_credito,completada,AR
TXN-000077,USR-0081,PRD-0095,Hogar,1553.89,2,2024-11-12 00:00:00,tarjeta_credito,cancelada,CO
TXN-000078,USR-0140,PRD-0056,Electrónica,691.0,10,2024-01-24 00:00:00,billetera_digital,completada,
TXN-000079,USR-0071,PRD-0196,Hogar,240.85,7,2024-12-26 00:00:00,billetera_digital,cancelada,BR
TXN-000080,,PRD-0020,Libros,859.14,7,2024-06-15 00:00:00,billetera_digital,reembolsada,MX
TXN-000081,USR-0125,PRD-0112,Libros,158.22,6,2024-02-09 00:00:00,tarjeta_credito,pendiente,MX
TXN-000082,USR-0331,PRD-0038,Ropa,512.68,3,2024-03-31 00:00:00,efectivo,reembolsada,PE
TXN-000083,USR-0290,PRD-0165,Libros,647.09,6,2024-08-14 00:00:00,transferencia,completada,CL
TXN-000084,USR-0030,PRD-0095,Electrónica,1289.69,2,2024-08-24 00:00:00,tarjeta_credito,reembolsada,PE
TXN-000085,USR-0244,PRD-0129,Electrónica,901.6,6,2024-11-26 00:00:00,tarjeta_debito,reembolsada,PE
TXN-000086,USR-0191,PRD-0073,Hogar,1358.12,6,2024-12-13 00:00:00,transferencia,pendiente,PE
TXN-000087,USR-0159,PRD-0168,Deportes,258.77,2,2024-06-17 00:00:00,billetera_digital,completada,CO
TXN-000088,,PRD-0080,Ropa,684.12,4,2024-02-09 00:00:00,tarjeta_credito,completada,PE
TXN-000089,USR-0084,PRD-0047,Libros,1618.28,8,2024-05-01 00:00:00,billetera_digital,cancelada,CO
TXN-000090,USR-0495,PRD-0121,Ropa,736.31,8,2024-07-14 00:00:00,efectivo,pendiente,PE
TXN-000091,USR-0329,PRD-0124,Libros,1868.65,9,2024-03-23 00:00:00,billetera_digital,pendiente,CL
TXN-000092,USR-0231,PRD-0090,Deportes,107.46,4,2024-04-24 00:00:00,tarjeta_credito,cancelada,AR
TXN-000093,USR-0242,PRD-0179,Juguetes,938.75,2,2024-03-17 00:00:00,billetera_digital,reembolsada,MX
TXN-000094,USR-0123,PRD-0108,Libros,914.77,8,2024-09-20 00:00:00,tarjeta_debito,cancelada,PE
TXN-000095,USR-0096,PRD-0171,Libros,1949.33,9,2024-09-16 00:00:00,efectivo,reembolsada,CO
TXN-000096,USR-0009,PRD-0092,Hogar,483.01,2,2024-06-19 00:00:00,transferencia,cancelada,AR
TXN-000097,USR-0357,PRD-0123,Ropa,127.14,8,2024-04-12 00:00:00,transferencia,cancelada,PE
TXN-000098,USR-0332,PRD-0049,Electrónica,1731.73,2,2024-07-23 00:00:00,efectivo,cancelada,CO
TXN-000099,USR-0409,PRD-0133,Electrónica,1454.44,10,2024-05-30 00:00:00,tarjeta_credito,cancelada,MX
TXN-000100,USR-0086,PRD-0177,Deportes,85.67,6,2024-11-23 00:00:00,tarjeta_credito,completada,CO
TXN-000101,USR-0348,PRD-0041,Ropa,1697.49,8,2024-11-26 00:00:00,efectivo,completada,BR
TXN-000102,USR-0228,PRD-0196,Ropa,1059.39,5,2024-04-05 00:00:00,efectivo,completada,MX
TXN-000103,USR-0314,PRD-0074,Deportes,401.16,2,2024-08-15 00:00:00,transferencia,cancelada,PE
TXN-000104,USR-0436,PRD-0041,Juguetes,1275.76,9,2024-03-12 00:00:00,efectivo,completada,PE
TXN-000105,USR-0283,PRD-0034,Electrónica,132.43,8,2024-10-21 00:00:00,transferencia,completada,BR
TXN-000106,USR-0425,PRD-0200,Libros,364.74,7,2024-03-04 00:00:00,transferencia,pendiente,BR
TXN-000107,USR-0266,PRD-0073,Hogar,393.41,5,2024-09-30 00:00:00,tarjeta_debito,pendiente,PE
TXN-000108,USR-0432,PRD-0145,Electrónica,163.36,10,2024-10-19 00:00:00,tarjeta_credito,reembolsada,PE
TXN-000109,USR-0248,PRD-0063,Juguetes,812.78,1,2024-08-25 00:00:00,billetera_digital,pendiente,BR
TXN-000110,USR-0177,PRD-0103,Hogar,1030.45,4,2024-05-06 00:00:00,tarjeta_credito,cancelada,PE
TXN-000111,USR-0462,PRD-0041,Libros,1442.54,3,2024-09-12 00:00:00,efectivo,completada,CO
TXN-000112,USR-0111,PRD-0150,Electrónica,563.43,8,2027-01-27 00:00:00,transferencia,cancelada,MX
TXN-000113,USR-0288,PRD-0050,Hogar,147.99,9,2024-12-14 00:00:00,tarjeta_debito,completada,MX
TXN-000114,USR-0074,PRD-0051,Deportes,1000.66,3,2024-09-22 00:00:00,billetera_digital,pendiente,PE
TXN-000115,USR-0316,PRD-0190,Libros,673.41,9,2024-08-31 00:00:00,transferencia,cancelada,CO
TXN-000116,USR-0372,PRD-0177,Libros,949.71,10,2024-10-25 00:00:00,billetera_digital,reembolsada,BR
TXN-000117,USR-0359,PRD-0029,Deportes,628.07,4,2024-08-29 00:00:00,tarjeta_credito,pendiente,PE
TXN-000118,USR-0270,PRD-0097,Ropa,919.87,9,2024-12-14 00:00:00,transferencia,reembolsada,AR
TXN-000119,USR-0483,PRD-0077,Juguetes,415.35,6,2024-05-20 00:00:00,billetera_digital,reembolsada,CO
TXN-000120,USR-0412,PRD-0038,Hogar,1910.67,8,2024-04-19 00:00:00,billetera_digital,cancelada,BR
TXN-000121,USR-0380,PRD-0151,Electrónica,1340.0,4,2024-08-29 00:00:00,tarjeta_debito,completada,AR
TXN-000122,USR-0450,PRD-0122,Ropa,1512.07,5,2024-02-15 00:00:00,tarjeta_debito,completada,AR
TXN-000123,USR-0479,PRD-0010,Deportes,1576.13,5,2027-05-25 00:00:00,transferencia,cancelada,BR
TXN-000124,USR-0481,PRD-0035,Deportes,546.4,6,2024-05-11 00:00:00,tarjeta_credito,cancelada,PE
TXN-000125,USR-0313,PRD-0164,Deportes,1031.05,2,2024-06-14 00:00:00,tarjeta_credito,cancelada,CO
TXN-000126,USR-0155,PRD-0150,Electrónica,523.84,4,2024-06-06 00:00:00,billetera_digital,cancelada,BR
TXN-000127,USR-0315,PRD-0057,Ropa,956.89,10,2024-08-29 00:00:00,tarjeta_debito,pendiente,PE
TXN-000128,USR-0229,PRD-0136,Electrónica,1834.57,9,2024-10-01 00:00:00,transferencia,reembolsada,AR
TXN-000129,USR-0461,PRD-0131,Electrónica,907.41,8,2024-12-10 00:00:00,tarjeta_credito,reembolsada,CL
TXN-000130,USR-0024,PRD-0109,Electrónica,1082.79,2,2024-05-26 00:00:00,tarjeta_debito,reembolsada,CO
TXN-000131,USR-0194,PRD-0097,Juguetes,1749.23,6,2024-07-20 00:00:00,tarjeta_debito,completada,MX
TXN-000132,USR-0218,PRD-0137,Ropa,495.78,5,2024-02-27 00:00:00,efectivo,completada,CL
TXN-000133,USR-0307,PRD-0173,Electrónica,490.22,8,2024-01-29 00:00:00,transferencia,pendiente,BR
TXN-000134,USR-0396,PRD-0173,Ropa,604.23,9,2024-02-01 00:00:00,billetera_digital,pendiente,CO
TXN-000135,USR-0177,PRD-0165,Libros,638.15,3,2024-10-02 00:00:00,tarjeta_debito,cancelada,AR
TXN-000136,USR-0288,PRD-0106,Libros,1060.45,5,2024-08-18 00:00:00,tarjeta_credito,pendiente,CO
TXN-000137,USR-0448,PRD-0019,Libros,1448.89,8,2024-06-04 00:00:00,tarjeta_credito,pendiente,BR
TXN-000138,USR-0246,PRD-0063,Juguetes,409.82,9,2024-08-26 00:00:00,transferencia,cancelada,PE
TXN-000139,USR-0412,PRD-0185,Hogar,1828.75,7,2024-03-15 00:00:00,billetera_digital,reembolsada,AR
TXN-000140,USR-0427,PRD-0063,Juguetes,1886.99,8,2024-09-08 00:00:00,transferencia,pendiente,PE
TXN-000141,USR-0278,PRD-0165,Libros,68.61,1,2024-11-18 00:00:00,tarjeta_debito,completada,CO
TXN-000142,USR-0342,PRD-0158,Juguetes,-224.73,1,2024-10-01 00:00:00,tarjeta_credito,reembolsada,AR
TXN-000143,USR-0077,PRD-0062,Libros,505.58,7,2024-08-23 00:00:00,tarjeta_debito,cancelada,CL
TXN-000144,USR-0389,PRD-0009,Deportes,754.96,1,2024-08-10 00:00:00,transferencia,completada,CL
TXN-000145,USR-0355,PRD-0146,Electrónica,1848.39,5,2024-01-17 00:00:00,transferencia,completada,PE
TXN-000146,USR-0421,PRD-0102,Hogar,325.74,7,2024-07-15 00:00:00,tarjeta_debito,completada,MX
TXN-000147,USR-0430,PRD-0020,Libros,1909.76,6,2024-08-18 00:00:00,transferencia,reembolsada,BR
TXN-000148,USR-0396,PRD-0159,Ropa,1426.5,3,2024-03-19 00:00:00,transferencia,cancelada,CL
TXN-000149,USR-0390,PRD-0070,Electrónica,375.6,9,2024-02-15 00:00:00,tarjeta_credito,cancelada,CL
TXN-000150,USR-0044,PRD-0186,Ropa,1144.35,7,2024-05-17 00:00:00,tarjeta_credito,pendiente,CO
TXN-000151,USR-0185,PRD-0065,Juguetes,1250.44,4,2024-01-04 00:00:00,transferencia,reembolsada,MX
TXN-000152,USR-0422,PRD-0167,Ropa,601.57,4,2024-07-22 00:00:00,transferencia,reembolsada,AR
TXN-000153,USR-0403,PRD-0101,Libros,400.4,3,2024-08-24 00:00:00,tarjeta_debito,reembolsada,BR
TXN-000154,USR-0408,PRD-0105,Ropa,1267.04,3,2024-02-07 00:00:00,billetera_digital,reembolsada,PE
TXN-000155,USR-0355,PRD-0108,Hogar,1403.57,10,2024-05-07 00:00:00,transferencia,pendiente,CL
TXN-000156,USR-0332,PRD-0103,Hogar,1931.47,1,2024-09-22 00:00:00,billetera_digital,pendiente,CO
TXN-000157,USR-0354,PRD-0129,Electrónica,966.06,2,2024-03-13 00:00:00,transferencia,reembolsada,PE
TXN-000158,USR-0225,PRD-0185,Hogar,135.28,2,2024-02-25 00:00:00,tarjeta_debito,pendiente,PE
TXN-000159,USR-0491,PRD-0119,Deportes,1259.89,7,2024-04-11 00:00:00,efectivo,reembolsada,
TXN-000160,USR-0361,PRD-0017,Libros,374.73,8,2024-09-07 00:00:00,transferencia,reembolsada,PE
TXN-000161,USR-0235,PRD-0159,Juguetes,1412.27,10,2024-06-09 00:00:00,transferencia,completada,BR
TXN-000162,USR-0306,PRD-0036,Deportes,372.32,3,2024-03-12 00:00:00,efectivo,completada,CL
TXN-000163,USR-0197,PRD-0144,Deportes,818.86,8,2024-01-16 00:00:00,tarjeta_debito,cancelada,AR
TXN-000164,USR-0235,PRD-0145,Deportes,1099.9,2,2024-07-06 00:00:00,tarjeta_credito,reembolsada,CO
TXN-000165,USR-0385,PRD-0064,Electrónica,900.01,2,2024-05-01 00:00:00,billetera_digital,cancelada,PE
TXN-000166,USR-0072,PRD-0053,Electrónica,1140.58,10,2024-12-26 00:00:00,billetera_digital,cancelada,PE
TXN-000167,USR-0049,PRD-0035,Deportes,1837.62,3,2024-03-15 00:00:00,tarjeta_debito,reembolsada,PE
TXN-000168,USR-0193,PRD-0116,Electrónica,806.3,6,2024-10-24 00:00:00,criptomoneda,completada,CO
TXN-000169,USR-0436,PRD-0017,Deportes,436.44,4,2024-05-25 00:00:00,billetera_digital,pendiente,CO
TXN-000170,USR-0391,PRD-0013,Juguetes,1568.0,2,2024-08-21 00:00:00,criptomoneda,reembolsada,BR
TXN-000171,USR-0155,PRD-0041,Hogar,187.59,2,2024-03-25 00:00:00,transferencia,pendiente,CL
TXN-000172,,PRD-0123,Libros,453.16,-3,2024-08-04 00:00:00,efectivo,completada,CL
TXN-000173,USR-0161,PRD-0095,Ropa,766.06,3,2024-02-05 00:00:00,tarjeta_credito,pendiente,BR
TXN-000174,USR-0471,PRD-0106,Deportes,1720.07,2,2024-07-15 00:00:00,efectivo,cancelada,AR
TXN-000175,USR-0284,PRD-0154,Libros,570.56,1,2024-06-03 00:00:00,billetera_digital,pendiente,MX
TXN-000176,USR-0407,PRD-0062,Electrónica,482.92,2,2024-07-03 00:00:00,tarjeta_debito,reembolsada,PE
TXN-000177,USR-0089,PRD-0196,Electrónica,34.36,5,2024-07-22 00:00:00,billetera_digital,reembolsada,CO
TXN-000178,USR-0316,PRD-0040,Hogar,158.96,3,2024-11-20 00:00:00,tarjeta_credito,cancelada,BR
TXN-000179,USR-0126,PRD-0023,Electrónica,907.29,5,2024-03-30 00:00:00,tarjeta_debito,completada,MX
TXN-000180,USR-0370,PRD-0067,Ropa,1499.8,2,2024-08-07 00:00:00,tarjeta_credito,cancelada,PE
TXN-000181,USR-0262,PRD-0093,Libros,334.6,2,2024-02-29 00:00:00,billetera_digital,completada,CL
TXN-000182,USR-0197,PRD-0039,Electrónica,1106.18,7,2024-06-12 00:00:00,tarjeta_credito,cancelada,BR
TXN-000183,USR-0412,PRD-0133,Deportes,138.78,5,2024-02-14 00:00:00,tarjeta_credito,cancelada,PE
TXN-000184,USR-0125,PRD-0119,Deportes,1995.58,9,2024-01-04 00:00:00,tarjeta_credito,pendiente,BR
TXN-000185,USR-0487,PRD-0086,Categoría_Inválida,1314.95,5,2024-05-01 00:00:00,tarjeta_credito,pendiente,CL
TXN-000186,USR-0433,PRD-0134,Hogar,917.46,10,2024-07-20 00:00:00,billetera_digital,completada,AR
TXN-000187,USR-0162,PRD-0101,Juguetes,653.18,4,2024-10-26 00:00:00,tarjeta_credito,pendiente,MX
TXN-000188,USR-0494,PRD-0198,Hogar,927.23,2,2024-12-26 00:00:00,tarjeta_credito,pendiente,MX
TXN-000189,USR-0496,PRD-0092,Electrónica,1354.69,3,2024-08-19 00:00:00,billetera_digital,pendiente,CL
TXN-000190,USR-0007,PRD-0016,Ropa,262.3,6,2024-02-13 00:00:00,transferencia,completada,CL
TXN-000191,USR-0415,PRD-0033,Hogar,245.93,1,2024-07-21 00:00:00,efectivo,reembolsada,AR
TXN-000192,USR-0229,PRD-0039,Libros,1234.34,8,2024-02-01 00:00:00,efectivo,pendiente,BR
TXN-000193,USR-0323,PRD-0140,Deportes,1564.05,9,2024-10-16 00:00:00,efectivo,cancelada,MX
TXN-000194,USR-0416,PRD-0200,Deportes,1059.34,4,2024-12-02 00:00:00,billetera_digital,completada,AR
TXN-000195,USR-0199,PRD-0091,Ropa,353.02,6,2024-12-24 00:00:00,billetera_digital,pendiente,AR
TXN-000196,USR-0497,PRD-0127,Ropa,981.38,4,2024-09-01 00:00:00,criptomoneda,pendiente,MX
TXN-000197,USR-0433,PRD-0083,Ropa,1173.63,2,2024-02-07 00:00:00,efectivo,completada,MX
TXN-000198,USR-0486,PRD-0112,Deportes,1298.71,9,2024-07-01 00:00:00,billetera_digital,pendiente,BR
TXN-000199,USR-0374,PRD-0001,Libros,783.81,10,2024-11-09 00:00:00,billetera_digital,completada,AR
TXN-000200,USR-0178,PRD-0082,Electrónica,1643.5,6,2024-05-07 00:00:00,transferencia,cancelada,BR
TXN-000186,USR-0215,PRD-0043,Deportes,1763.66,7,2024-10-22 00:00:00,tarjeta_debito,pendiente,CL
TXN-000202,USR-0488,PRD-0027,Ropa,1775.97,2,2024-02-17 00:00:00,billetera_digital,reembolsada,CO
TXN-000203,USR-0456,PRD-0112,Electrónica,662.86,7,2024-10-03 00:00:00,transferencia,cancelada,CL
TXN-000204,USR-0252,PRD-0040,Electrónica,855.78,10,2024-04-15 00:00:00,transferencia,completada,CL
TXN-000205,USR-0251,PRD-0170,Juguetes,1088.71,7,2024-05-14 00:00:00,transferencia,pendiente,PE
TXN-000206,USR-0342,PRD-0025,Hogar,1616.55,10,2024-07-17 00:00:00,efectivo,reembolsada,AR
TXN-000207,USR-0463,PRD-0183,Libros,1801.01,10,2024-08-17 00:00:00,tarjeta_debito,pendiente,AR
TXN-000208,USR-0350,PRD-0112,Juguetes,296.61,6,2024-02-04 00:00:00,billetera_digital,reembolsada,MX
TXN-000209,USR-0007,PRD-0180,Libros,1563.59,3,2024-02-21 00:00:00,billetera_digital,completada,PE
TXN-000210,USR-0136,PRD-0099,Libros,1218.32,5,2024-12-14 00:00:00,tarjeta_credito,reembolsada,MX
TXN-000211,USR-0244,PRD-0069,Electrónica,676.39,5,2024-12-22 00:00:00,tarjeta_debito,pendiente,BR
TXN-000212,USR-0138,PRD-0187,Juguetes,179.48,7,2024-07-10 00:00:00,billetera_digital,pendiente,BR
TXN-000213,USR-0436,PRD-0135,Electrónica,348.3,4,2024-08-21 00:00:00,transferencia,pendiente,CO
TXN-000214,USR-0064,PRD-0175,Hogar,978.08,8,2024-03-24 00:00:00,transferencia,completada,CO
TXN-000215,USR-0400,PRD-0055,Juguetes,451.0,7,2024-12-15 00:00:00,criptomoneda,pendiente,PE
TXN-000216,USR-0312,PRD-0079,Juguetes,1285.84,7,2024-04-21 00:00:00,billetera_digital,reembolsada,CL
TXN-000217,USR-0432,PRD-0096,Libros,1218.49,2,2024-05-21 00:00:00,transferencia,cancelada,BR
TXN-000218,USR-0392,PRD-0062,Libros,808.79,3,2024-05-31 00:00:00,efectivo,reembolsada,CL
TXN-000219,USR-0418,PRD-0049,Juguetes,445.5,8,2024-09-16 00:00:00,tarjeta_debito,pendiente,CO
TXN-000220,USR-0414,PRD-0144,Ropa,1893.9,2,2024-06-06 00:00:00,transferencia,cancelada,MX
TXN-000221,USR-0028,PRD-0163,Libros,143.36,9,2024-09-28 00:00:00,tarjeta_credito,pendiente,AR
TXN-000222,USR-0458,PRD-0118,Juguetes,361.53,6,2024-11-20 00:00:00,efectivo,cancelada,AR
TXN-000223,USR-0403,PRD-0196,Ropa,1229.34,7,2024-01-03 00:00:00,tarjeta_debito,cancelada,MX
TXN-000224,USR-0010,PRD-0174,Categoría_Inválida,1467.47,6,2024-09-14 00:00:00,tarjeta_debito,completada,MX
TXN-000225,USR-0267,PRD-0153,Deportes,1776.06,6,2024-04-06 00:00:00,efectivo,completada,BR
TXN-000226,USR-0012,PRD-0151,Electrónica,733.82,1,2024-09-30 00:00:00,billetera_digital,completada,BR
TXN-000227,USR-0060,PRD-0107,Electrónica,1095.02,3,2024-01-05 00:00:00,tarjeta_credito,cancelada,BR
TXN-000228,USR-0054,PRD-0131,Electrónica,566.13,8,2024-05-14 00:00:00,tarjeta_debito,cancelada,MX
TXN-000229,USR-0467,PRD-0054,Deportes,-164.86,2,2024-03-17 00:00:00,billetera_digital,completada,CL
TXN-000230,USR-0234,PRD-0076,Electrónica,200.52,1,2024-12-12 00:00:00,tarjeta_credito,completada,CL
TXN-000172,USR-0088,PRD-0085,Deportes,1910.22,2,2024-02-28 00:00:00,efectivo,cancelada,BR
TXN-000232,USR-0333,PRD-0043,Juguetes,1453.1,3,2024-09-04 00:00:00,efectivo,pendiente,MX
TXN-000233,USR-0451,PRD-0187,Ropa,966.68,7,2024-12-01 00:00:00,billetera_digital,pendiente,BR
TXN-000234,USR-0353,PRD-0180,Deportes,1323.76,6,2024-03-17 00:00:00,billetera_digital,completada,AR
